iter	Passed	Remaining
877	4495	624
878	4501	619
879	4505	614
880	4510	609
881	4515	604
882	4519	598
883	4523	593
884	4528	588
885	4533	583
886	4538	578
887	4542	572
888	4547	567
889	4551	562
890	4556	557
891	4560	552
892	4566	547
893	4569	541
894	4573	536
895	4579	531
896	4584	526
897	4588	521
898	4592	515
899	4598	510
900	4602	505
901	4606	500
902	4612	495
903	4616	490
904	4621	485
905	4625	479
906	4630	474
907	4634	469
908	4638	464
909	4644	459
910	4648	454
911	4652	448
912	4656	443
913	4662	438
914	4666	433
915	4670	428
916	4676	423
917	4681	418
918	4684	412
919	4695	408
920	4713	404
921	4718	399
922	4726	394
923	4730	389
924	4736	384
925	4743	379
926	4748	373
927	4754	368
928	4760	363
929	4764	358
930	4770	353
931	4780	348
932	4787	343
933	4792	338
934	4797	333
935	4804	328
936	4833	324
937	4841	320
938	4847	314
939	4904	313
940	4912	308
941	4922	303
942	4962	299
943	4973	295
944	4986	290
945	5042	287
946	5058	283
947	5064	277
948	5071	272
949	5083	267
950	5113	263
951	5123	258
952	5133	253
953	5140	247
954	5158	243
955	5166	237
956	5172	232
957	5182	227
958	5188	221
959	5195	216
960	5204	211
961	5213	205
962	5219	200
963	5224	195
964	5259	190
965	5274	185
966	5283	180
967	5294	175
968	5312	169
969	5320	164
970	5328	159
971	5337	153
972	5348	148
973	5360	143
974	5372	137
975	5379	132
976	5393	126
977	5399	121
978	5406	115
979	5413	110
980	5419	104
981	5425	99
982	5431	93
983	5437	88
984	5443	82
985	5449	77
986	5455	71
987	5461	66
988	5475	60
989	5493	55
990	5505	49
991	5513	44
992	5522	38
993	5532	33
994	5549	27
995	5558	22
996	5564	16
997	5574	11
998	5581	5
999	5589	0
