iter	Logloss
0	0.2739261359
1	0.1893748494
2	0.1611280386
3	0.1385482833
4	0.1269149737
5	0.1192455833
6	0.1112385851
7	0.1066478963
8	0.09939359311
9	0.09468528683
10	0.09004099488
11	0.08634789559
12	0.08358299586
13	0.08060997833
14	0.07875868652
15	0.07656286278
16	0.07429075605
17	0.07255912621
18	0.06874935224
19	0.06708799504
20	0.06532408112
21	0.06235849087
22	0.0608145215
23	0.05859199608
24	0.05731685483
25	0.05623515655
26	0.05478235074
27	0.05267854881
28	0.05180118105
29	0.05054221634
30	0.04936921744
31	0.04873138195
32	0.04739124541
33	0.04692089095
34	0.04641068302
35	0.0449086988
36	0.04347555464
37	0.04299043632
38	0.0424656493
39	0.04188970235
40	0.04143075595
41	0.04059131658
42	0.03938567634
43	0.03886526149
44	0.03823223553
45	0.03714619603
46	0.03667372464
47	0.03631028165
48	0.03592910498
49	0.03501614463
50	0.03424500333
51	0.03384879751
52	0.03349008282
53	0.03308357847
54	0.03283297198
55	0.03197195081
56	0.03130987395
57	0.03111244691
58	0.03063841602
59	0.0302968359
60	0.03014000349
61	0.02978875865
62	0.02959570681
63	0.029297287
64	0.0291752054
65	0.02889642571
66	0.02863047433
67	0.02847927483
68	0.02825523653
69	0.02816368757
70	0.02761728199
71	0.0273980632
72	0.0272195364
73	0.02707254826
74	0.02673724078
75	0.02654050164
76	0.02639266704
77	0.02617038627
78	0.02590024136
79	0.02560464969
80	0.02544140623
81	0.02544066015
82	0.02536334767
83	0.0251830011
84	0.02506995941
85	0.02479552059
86	0.02468001262
87	0.02456809299
88	0.02456805136
89	0.02424259642
90	0.02413179847
91	0.02413162802
92	0.02403440103
93	0.0238103462
94	0.02374483108
95	0.02362261259
96	0.02352617719
97	0.02348589132
98	0.0234214564
99	0.02341992207
100	0.02327969644
101	0.02311915993
102	0.02294986427
103	0.02278220565
104	0.02278204027
105	0.02272050674
106	0.02272044041
107	0.02258951889
108	0.02251873207
109	0.02242575674
110	0.0223557216
111	0.02235525485
112	0.02225115056
113	0.02223391334
114	0.02223375642
115	0.02214753485
116	0.02209849462
117	0.02196957508
118	0.02196953561
119	0.02192900472
120	0.02192899442
121	0.02192877415
122	0.02192855614
123	0.02192830054
124	0.02186394317
125	0.02186392234
126	0.02186387219
127	0.02186383768
128	0.02186383272
129	0.02186383741
130	0.02186372552
131	0.02186364987
132	0.0218613587
133	0.02186126735
134	0.02186124001
135	0.02186118485
136	0.02186106412
137	0.02186086552
138	0.02186081171
139	0.02186066815
140	0.02186058899
141	0.02186052865
142	0.02186040603
143	0.02186024912
144	0.02186015292
145	0.02186004178
146	0.02185965586
147	0.02185934171
148	0.02173238569
149	0.02173174775
150	0.02168062092
151	0.02168051718
152	0.02168053481
153	0.02168042966
154	0.02168042966
155	0.02168000842
156	0.02167820309
157	0.02167810668
158	0.02167807486
159	0.02167788311
160	0.02167781075
161	0.02167761037
162	0.02167747638
163	0.02167741938
164	0.02167739512
165	0.02167731003
166	0.02167734303
167	0.02167727401
168	0.02167710841
169	0.02163029258
170	0.02163013049
171	0.02157613165
172	0.02157594697
173	0.02157579911
174	0.02157565536
175	0.02157566042
176	0.02157436175
177	0.02157413458
178	0.02157406022
179	0.02157380603
180	0.02157372709
181	0.02157379422
182	0.02157359756
183	0.02157350616
184	0.02157344566
185	0.02157344566
186	0.02157312477
187	0.02157317977
188	0.02157314548
189	0.02157300905
190	0.02157300026
191	0.02157298635
192	0.02157053163
193	0.02157030408
194	0.02156873267
195	0.02156722451
196	0.02156717798
197	0.0215657532
198	0.0215653147
199	0.02156520756
200	0.02156514051
201	0.02156505413
202	0.02151088878
203	0.02151076788
204	0.02151071935
205	0.02151035101
206	0.02151035165
207	0.02148863079
208	0.02148857692
209	0.02148733555
210	0.02148715981
211	0.02143853053
212	0.02143845784
213	0.02143838365
214	0.02133032202
215	0.02126714952
216	0.02126690606
217	0.02126680781
218	0.02126652134
219	0.02126631417
220	0.02126630495
221	0.02126622444
222	0.02126586564
223	0.02126380305
224	0.02126354896
225	0.021200342
226	0.02119962833
227	0.0211994513
228	0.02119943906
229	0.0211992512
230	0.02119917306
231	0.02119907325
232	0.02119885072
233	0.02119885762
234	0.0211987831
235	0.02119875872
236	0.0211986333
237	0.02119857787
238	0.0211984574
239	0.0211982848
240	0.02119818488
241	0.02119814444
242	0.02119805023
243	0.02119739254
244	0.02119725596
245	0.02119707656
246	0.02119673787
247	0.02119650007
248	0.02119650681
249	0.02119583887
250	0.02119569226
251	0.02119556446
252	0.02119554219
253	0.02119543337
254	0.02119541024
255	0.02119526373
256	0.02119530385
257	0.02119530331
258	0.02119520199
259	0.02119483251
260	0.02119470332
261	0.02119448412
262	0.02119441834
263	0.02119437336
264	0.02119406034
265	0.02119388666
266	0.02119373147
267	0.02119355665
268	0.02119357256
269	0.02119344255
270	0.02119333271
271	0.02119310505
272	0.0211931085
273	0.02119292333
274	0.02119281818
275	0.02119281004
276	0.0211923339
277	0.02119227367
278	0.02119225485
279	0.02119174583
280	0.02119166473
281	0.02119156475
282	0.02119151789
283	0.02119122914
284	0.02119116756
285	0.02119110199
286	0.02119095176
287	0.02119088075
288	0.02119089309
289	0.02119076497
290	0.02119055861
291	0.02119039771
292	0.02119040979
293	0.02119034934
294	0.02119028857
295	0.02119028059
296	0.02119012836
297	0.02119008215
298	0.02118995619
299	0.0211898113
300	0.02118979588
301	0.02118970895
302	0.02118963185
303	0.02118959734
304	0.02118959151
305	0.02118952486
306	0.02118932255
307	0.02118923961
308	0.02118911068
309	0.02118898639
310	0.02118858747
311	0.02118858925
312	0.02118852363
313	0.02118846847
314	0.02118804997
315	0.02118801438
316	0.02118763671
317	0.02118756888
318	0.02118750401
319	0.0211873314
320	0.02118724092
321	0.0211871101
322	0.02118695346
323	0.02118694332
324	0.02118679126
325	0.02118675826
326	0.02118630633
327	0.0211862145
328	0.02118614694
329	0.02118614381
330	0.02118608347
331	0.02118602135
332	0.02118590348
333	0.02118589194
334	0.02118590413
335	0.0211857299
336	0.02118553249
337	0.02118505851
338	0.02118494802
339	0.02118496113
340	0.02118483392
341	0.02118468876
342	0.02118444013
343	0.02118438162
344	0.02118429189
345	0.02118411045
346	0.02118407275
347	0.0211840988
348	0.02118337548
349	0.02118321166
350	0.02118307179
351	0.02118294766
352	0.02118272954
353	0.02118266629
354	0.02118257764
355	0.02118173936
356	0.02118165514
357	0.02118165276
358	0.0211815721
359	0.02118150841
360	0.02118134271
361	0.02118123233
362	0.02118096832
363	0.02118083023
364	0.02118070588
365	0.02118036747
366	0.02118025374
367	0.02117978068
368	0.02117941659
369	0.02117942986
370	0.0211794077
371	0.02117937286
372	0.02117935615
373	0.02117932164
374	0.02117885332
375	0.02117887268
376	0.0211786675
377	0.0211785087
378	0.02117843553
379	0.0211783183
380	0.02117159718
381	0.02109307966
382	0.0210331597
383	0.02103292465
384	0.02103269877
385	0.02103249165
386	0.02103230713
387	0.02103230713
388	0.02103230713
389	0.02103230713
390	0.02103192566
391	0.02103171882
392	0.02103163928
393	0.0210315585
394	0.02103138908
395	0.02103104063
396	0.02103088528
397	0.02103076282
398	0.02103063686
399	0.02103020036
400	0.02103015231
401	0.02103003428
402	0.02102995722
403	0.02102991748
404	0.02102970686
405	0.02102955334
406	0.0210294717
407	0.0210294717
408	0.02102930174
409	0.02102920867
410	0.02102920867
411	0.02102911371
412	0.02102912018
413	0.0210291033
414	0.02102855324
415	0.02102833059
416	0.02102833226
417	0.02102817023
418	0.02102800792
419	0.02102791129
420	0.0210278008
421	0.0210277354
422	0.02102762156
423	0.02102759541
424	0.0210274543
425	0.02102678496
426	0.02102670386
427	0.02102670224
428	0.02102640669
429	0.02102619348
430	0.02102615735
431	0.02102597251
432	0.02102589
433	0.02102588456
434	0.02102587598
435	0.02102580729
436	0.02102581209
437	0.02102580179
438	0.02102576032
439	0.02102560858
440	0.02102546202
441	0.02102542406
442	0.02102529988
443	0.02102523414
444	0.02102516814
445	0.02102516814
446	0.02102518583
447	0.02102510408
448	0.02102482169
449	0.02102467168
450	0.02102463889
451	0.02102459403
452	0.02102444569
453	0.02102449222
454	0.02102446812
455	0.02102431978
456	0.02102411617
457	0.02102356756
458	0.02102343114
459	0.02102331741
460	0.02102330711
461	0.02102328797
462	0.02102321906
463	0.02102311731
464	0.02102288441
465	0.02102275662
466	0.02102280504
467	0.02102276352
468	0.02102271175
469	0.02102267719
470	0.02102259911
471	0.02102257037
472	0.02097416842
473	0.02094692524
474	0.02094679216
475	0.02094679038
476	0.02094646566
477	0.02094643551
478	0.02094637571
479	0.02094637571
480	0.02094637571
481	0.02094637571
482	0.02094637571
483	0.02094637571
484	0.02094637571
485	0.02093011163
486	0.020929837
487	0.02092979219
488	0.02092958287
489	0.02092953002
490	0.02092920891
491	0.02092918589
492	0.02092900875
493	0.02092890301
